403      GET       10l       30w      297c http://192.168.70.193/.gitconfig.html
403      GET       10l       30w      299c http://192.168.70.193/.git_release.html
403      GET       10l       30w      297c http://192.168.70.193/.gitignore.html
403      GET       10l       30w      301c http://192.168.70.193/.gitattributes.html
403      GET       10l       30w      295c http://192.168.70.193/.git/HEAD.php
403      GET       10l       30w      297c http://192.168.70.193/.git/config.php
403      GET       10l       30w      292c http://192.168.70.193/.gitk.html
403      GET       10l       30w      296c http://192.168.70.193/.git/index.php
403      GET       10l       30w      296c http://192.168.70.193/.git/logs/.php
403      GET       10l       30w      296c http://192.168.70.193/.gitconfig.php
403      GET       10l       30w      295c http://192.168.70.193/.git/HEAD.asp
403      GET       10l       30w      300c http://192.168.70.193/.gitattributes.php
403      GET       10l       30w      296c http://192.168.70.193/.gitignore.php
403      GET       10l       30w      298c http://192.168.70.193/.git_release.php
403      GET       10l       30w      297c http://192.168.70.193/.git/config.asp
403      GET       10l       30w      296c http://192.168.70.193/.git/index.asp
403      GET       10l       30w      296c http://192.168.70.193/.git/logs/.asp
403      GET       10l       30w      291c http://192.168.70.193/.gitk.php
403      GET       10l       30w      296c http://192.168.70.193/.git/HEAD.aspx
403      GET       10l       30w      296c http://192.168.70.193/.gitignore.asp
403      GET       10l       30w      298c http://192.168.70.193/.git_release.asp
403      GET       10l       30w      300c http://192.168.70.193/.gitattributes.asp
403      GET       10l       30w      298c http://192.168.70.193/.git/config.aspx
403      GET       10l       30w      297c http://192.168.70.193/.git/index.aspx
403      GET       10l       30w      296c http://192.168.70.193/.gitconfig.asp
403      GET       10l       30w      291c http://192.168.70.193/.gitk.asp
403      GET       10l       30w      297c http://192.168.70.193/.git/logs/.aspx
403      GET       10l       30w      295c http://192.168.70.193/.git/HEAD.jsp
403      GET       10l       30w      297c http://192.168.70.193/.gitignore.aspx
403      GET       10l       30w      297c http://192.168.70.193/.git/config.jsp
403      GET       10l       30w      299c http://192.168.70.193/.git_release.aspx
403      GET       10l       30w      292c http://192.168.70.193/.gitk.aspx
403      GET       10l       30w      301c http://192.168.70.193/.gitattributes.aspx
403      GET       10l       30w      297c http://192.168.70.193/.gitconfig.aspx
403      GET       10l       30w      296c http://192.168.70.193/.git/logs/.jsp
403      GET       10l       30w      296c http://192.168.70.193/.git/index.jsp
403      GET       10l       30w      290c http://192.168.70.193/.gitkeep
403      GET       10l       30w      296c http://192.168.70.193/.gitignore.jsp
403      GET       10l       30w      293c http://192.168.70.193/.gitmodules
403      GET       10l       30w      291c http://192.168.70.193/.gitk.jsp
403      GET       10l       30w      300c http://192.168.70.193/.gitattributes.jsp
403      GET       10l       30w      292c http://192.168.70.193/.gitreview
403      GET       10l       30w      298c http://192.168.70.193/.git_release.jsp
403      GET       10l       30w      296c http://192.168.70.193/.gitconfig.jsp
403      GET       10l       30w      290c http://192.168.70.193/.history
403      GET       10l       30w      286c http://192.168.70.193/.hta
403      GET       10l       30w      297c http://192.168.70.193/.gitmodules.txt
403      GET       10l       30w      294c http://192.168.70.193/.gitkeep.txt
403      GET       10l       30w      291c http://192.168.70.193/.htpasswd
403      GET       10l       30w      290c http://192.168.70.193/.listing
403      GET       10l       30w      296c http://192.168.70.193/.gitreview.txt
403      GET       10l       30w      294c http://192.168.70.193/.history.txt
403      GET       10l       30w      291c http://192.168.70.193/.htaccess
403      GET       10l       30w      291c http://192.168.70.193/.listings
403      GET       10l       30w      290c http://192.168.70.193/.hta.txt
403      GET       10l       30w      298c http://192.168.70.193/.gitmodules.html
403      GET       10l       30w      295c http://192.168.70.193/.htpasswd.txt
403      GET       10l       30w      295c http://192.168.70.193/.gitkeep.html
403      GET       10l       30w      297c http://192.168.70.193/.gitreview.html
403      GET       10l       30w      295c http://192.168.70.193/.history.html
403      GET       10l       30w      294c http://192.168.70.193/.listing.txt
403      GET       10l       30w      295c http://192.168.70.193/.listings.txt
403      GET       10l       30w      295c http://192.168.70.193/.htaccess.txt
403      GET       10l       30w      291c http://192.168.70.193/.hta.html
403      GET       10l       30w      297c http://192.168.70.193/.gitmodules.php
403      GET       10l       30w      294c http://192.168.70.193/.gitkeep.php
403      GET       10l       30w      296c http://192.168.70.193/.htpasswd.html
403      GET       10l       30w      296c http://192.168.70.193/.gitreview.php
403      GET       10l       30w      296c http://192.168.70.193/.listings.html
403      GET       10l       30w      295c http://192.168.70.193/.listing.html
403      GET       10l       30w      294c http://192.168.70.193/.history.php
403      GET       10l       30w      296c http://192.168.70.193/.htaccess.html
403      GET       10l       30w      297c http://192.168.70.193/.gitmodules.asp
403      GET       10l       30w      294c http://192.168.70.193/.gitkeep.asp
403      GET       10l       30w      290c http://192.168.70.193/.hta.php
403      GET       10l       30w      296c http://192.168.70.193/.gitreview.asp
403      GET       10l       30w      295c http://192.168.70.193/.htpasswd.php
403      GET       10l       30w      294c http://192.168.70.193/.listing.php
403      GET       10l       30w      295c http://192.168.70.193/.listings.php
403      GET       10l       30w      294c http://192.168.70.193/.history.asp
403      GET       10l       30w      295c http://192.168.70.193/.htaccess.php
403      GET       10l       30w      298c http://192.168.70.193/.gitmodules.aspx
403      GET       10l       30w      290c http://192.168.70.193/.hta.asp
403      GET       10l       30w      295c http://192.168.70.193/.gitkeep.aspx
403      GET       10l       30w      295c http://192.168.70.193/.htpasswd.asp
403      GET       10l       30w      295c http://192.168.70.193/.listings.asp
403      GET       10l       30w      297c http://192.168.70.193/.gitreview.aspx
403      GET       10l       30w      295c http://192.168.70.193/.history.aspx
403      GET       10l       30w      294c http://192.168.70.193/.listing.asp
403      GET       10l       30w      295c http://192.168.70.193/.htaccess.asp
403      GET       10l       30w      294c http://192.168.70.193/.gitkeep.jsp
403      GET       10l       30w      297c http://192.168.70.193/.gitmodules.jsp
403      GET       10l       30w      291c http://192.168.70.193/.hta.aspx
403      GET       10l       30w      296c http://192.168.70.193/.listings.aspx
403      GET       10l       30w      296c http://192.168.70.193/.htpasswd.aspx
403      GET       10l       30w      295c http://192.168.70.193/.listing.aspx
403      GET       10l       30w      296c http://192.168.70.193/.gitreview.jsp
403      GET       10l       30w      296c http://192.168.70.193/.htaccess.aspx
403      GET       10l       30w      294c http://192.168.70.193/.history.jsp
403      GET       10l       30w      289c http://192.168.70.193/.passwd
403      GET       10l       30w      295c http://192.168.70.193/.htpasswd.jsp
403      GET       10l       30w      294c http://192.168.70.193/.listing.jsp
403      GET       10l       30w      290c http://192.168.70.193/.hta.jsp
403      GET       10l       30w      296c http://192.168.70.193/.mysql_history
403      GET       10l       30w      295c http://192.168.70.193/.listings.jsp
403      GET       10l       30w      295c http://192.168.70.193/.htaccess.jsp
403      GET       10l       30w      287c http://192.168.70.193/.perf
403      GET       10l       30w      290c http://192.168.70.193/.profile
403      GET       10l       30w      289c http://192.168.70.193/.rhosts
403      GET       10l       30w      293c http://192.168.70.193/.subversion
403      GET       10l       30w      300c http://192.168.70.193/.mysql_history.txt
403      GET       10l       30w      291c http://192.168.70.193/.perf.txt
403      GET       10l       30w      286c http://192.168.70.193/.svn
403      GET       10l       30w      294c http://192.168.70.193/.profile.txt
403      GET       10l       30w      286c http://192.168.70.193/.ssh
403      GET       10l       30w      293c http://192.168.70.193/.sh_history
403      GET       10l       30w      293c http://192.168.70.193/.passwd.txt
403      GET       10l       30w      301c http://192.168.70.193/.mysql_history.html
403      GET       10l       30w      295c http://192.168.70.193/.profile.html
403      GET       10l       30w      293c http://192.168.70.193/.rhosts.txt
403      GET       10l       30w      290c http://192.168.70.193/.ssh.txt
